lat_nano	lon_nano	level	cell_id_hex
-80000000000	-120000000000	30	0xa52277bfe2d0f5d1
-80000000000	-110000000000	30	0xa526bd06470cd841
-80000000000	-100000000000	30	0xa52906d3531a110f
-80000000000	-90000000000	30	0xbad52cad2cad354d
-80000000000	-80000000000	30	0xbad6f92cace5eef1
-80000000000	-70000000000	30	0xbad942f9b8f327bf
-80000000000	-60000000000	30	0xbadd88401d2f0a2f
-80000000000	-50000000000	30	0xbaef538c01d34ab9
-80000000000	-40000000000	30	0xbaee06c954d61fe9
-80000000000	-30000000000	30	0xba8ccd154d7a5f2f
-80000000000	-20000000000	30	0xba8947a8ece777bf
-80000000000	-10000000000	30	0xba86fc29fda4bbb1
-80000000000	0	30	0xb07f8757d6029fe3
-80000000000	10000000000	30	0xb07c5387564f445b
-80000000000	20000000000	30	0xb063ed031649cd15
-80000000000	30000000000	30	0xb06762eaa7d1b485
-80000000000	40000000000	30	0xb044a966aa7df543
-80000000000	50000000000	30	0xb045fc23ff78a013
-80000000000	60000000000	30	0xb03627bff784e185
-80000000000	70000000000	30	0xb033e852425d9d15
-80000000000	80000000000	30	0xb02c5682070e111b
-80000000000	90000000000	30	0xb02a82078757dff7
-80000000000	100000000000	30	0xafd3a97df8f1eee5
-80000000000	110000000000	30	0xafcc17adbda262eb
-80000000000	120000000000	30	0xafc9d840087b1e7b
-80000000000	130000000000	30	0xafba03dc00875fed
-80000000000	140000000000	30	0xafbb569955820abd
-80000000000	150000000000	30	0xaf989d15582e4b7b
-80000000000	160000000000	30	0xaf9c12fce9b632eb
-80000000000	170000000000	30	0xaf83ac78a9b0bba5
-80000000000	180000000000	30	0xaf8078a829fd601d
-70000000000	-180000000000	30	0xaf57df7fd5f5ff89
-70000000000	-170000000000	30	0xa5e5fafb861cc347
-70000000000	-160000000000	30	0xa5c501e0fdcbe527
-70000000000	-150000000000	30	0xa5cb3cdb11b50455
-70000000000	-140000000000	30	0xa448ed4e86be5505
-70000000000	-130000000000	30	0xa45ce81b83eb0051
-70000000000	-120000000000	30	0xa48a688e44e05101
-70000000000	-110000000000	30	0xa49055f4f8dea577
-70000000000	-100000000000	30	0xa4a4afaed2089213
-70000000000	-90000000000	30	0xbb52cb2ad4b4aacd
-70000000000	-80000000000	30	0xbb5b50512df76ded
-70000000000	-70000000000	30	0xbb6faa0b07215a89
-70000000000	-60000000000	30	0xbb759771bb1faeff
-70000000000	-50000000000	30	0xbba317e47c14ffaf
-70000000000	-40000000000	30	0xbbb712b17941aafb
-70000000000	-30000000000	30	0xba34c324ee4afbab
-70000000000	-20000000000	30	0xba3afe1f02341ad9
-70000000000	-10000000000	30	0xba1a050479e33cb9
-70000000000	0	30	0xb0a820802a0a0077
-70000000000	10000000000	30	0xb0b0afae834d9743
-70000000000	20000000000	30	0xb0c500a1a99eb033
-70000000000	30000000000	30	0xb0df6d9a45a05101
-70000000000	40000000000	30	0xb119b80ed6bf0051
-70000000000	50000000000	30	0xb10dbd5bd3ea5505
-70000000000	60000000000	30	0xb19e39cf10f50455
-70000000000	70000000000	30	0xb19054b5ac8bf063
-70000000000	80000000000	30	0xb1f1fafbd759c617
-70000000000	90000000000	30	0xb1fd61d57e1e0027
-70000000000	100000000000	30	0xae0e050428a639e9
-70000000000	110000000000	30	0xae6fab4a53740f9d
-70000000000	120000000000	30	0xae61c630ef0afbab
-70000000000	130000000000	30	0xaef242a42c15aafb
-70000000000	140000000000	30	0xaee647f12940ffaf
-70000000000	150000000000	30	0xaf209265ba5faeff
-70000000000	160000000000	30	0xaf3aff5e56614fcd
-70000000000	170000000000	30	0xaf4f50517cb268bd
-70000000000	180000000000	30	0xaf57df7fd5f5ff89
-60000000000	-180000000000	30	0xa89e029fd558aa81
-60000000000	-170000000000	30	0xa640e2a150a6d7f9
-60000000000	-160000000000	30	0xa68adaa9281d5825
-60000000000	-150000000000	30	0xa69648fcf5d8d6e3
-60000000000	-140000000000	30	0xa6a92734aaf5491f
-60000000000	-130000000000	30	0xa3f97675ffb55c5f
-60000000000	-120000000000	30	0xa39319a8e18983a7
-60000000000	-110000000000	30	0xa39f9aac2d4d4d65
-60000000000	-100000000000	30	0xa315b2b404b382ad
-60000000000	-90000000000	30	0xbccb52cad54caad5
-60000000000	-80000000000	30	0xbcea4d4bfb4c7d53
-60000000000	-70000000000	30	0xbc606553d2b2b29b
-60000000000	-60000000000	30	0xbc6ce6571e767c59
-60000000000	-50000000000	30	0xbc06898a004aa3a1
-60000000000	-40000000000	30	0xb956d8cb550ab6e1
-60000000000	-30000000000	30	0xb969b7030a27291d
-60000000000	-20000000000	30	0xb9752556d7e2a7db
-60000000000	-10000000000	30	0xb9bf1d5eaf592807
-60000000000	0	30	0xb761fd602aa7557f
-60000000000	10000000000	30	0xb714f7e151e3d2a9
-60000000000	20000000000	30	0xb6dfcffc7d580871
-60000000000	30000000000	30	0xb6c70dadb49dd3b3
-60000000000	40000000000	30	0xb6ac3361ffa0190b
-60000000000	50000000000	30	0xb3fc6220aae00c4b
-60000000000	60000000000	30	0xb3c25cf9a0cc86f7
-60000000000	70000000000	30	0xb3ca8ff978081d31
-60000000000	80000000000	30	0xb241a7f405f687fd
-60000000000	90000000000	30	0xb275f8757fe2007f
-60000000000	100000000000	30	0xadbe580bfa097803
-60000000000	110000000000	30	0xac35700687f7e2cf
-60000000000	120000000000	30	0xac3da3065f337909
-60000000000	130000000000	30	0xac039ddf551ff3b5
-60000000000	140000000000	30	0xa953cc9e005fe6f5
-60000000000	150000000000	30	0xa938f2524b622c4d
